0	3199	5988	5988	0.0
1	3844	6170	6170	0.0
2	3220	4267	4267	0.0
3	3326	5011	5011	0.0
4	3367	5283	5283	0.0
5	5611	58621	58258	0.6230904
6	6456	51293	50972	0.6297575
7	6120	60054	59434	1.0431739
8	8020	41069	40978	0.22207038
9	6333	54322	53208	2.0936701
10	8962	184700	181649	1.6796129
11	9287	235520	234179	0.57263887
12	11007	181150	178840	1.2916573
13	10055	158870	157476	0.88521427
14	9729	173960	172995	0.5578196
15	10972	411902	407703	1.0299164
16	11968	338669	332804	1.7622986
17	11210	547794	544838	0.5425466
18	12619	479640	477684	0.4094757
19	11235	411922	406094	1.4351357
20	11339	903648	898925	0.52540535
21	14252	557943	556873	0.19214435
22	14014	540542	539716	0.15304345
23	15296	744526	744287	0.03211127
24	10611	588921	585306	0.61762565
25	2049	8	8	0.0
26	2561	718	718	0.0
27	2066	27	27	0.0
28	2548	480	480	0.0
29	2072	50	50	0.0
30	5081	24202	24202	0.0
31	5117	25473	25469	0.015705368
32	7039	34128	32964	3.5311248
33	5265	22972	22215	3.4076076
34	4556	19539	19114	2.2235012
35	8179	109288	108293	0.91880363
36	9221	182482	181850	0.3475392
37	8508	90977	90440	0.5937638
38	9655	152348	151701	0.42649686
39	7920	139828	129728	7.7855206
40	9084	476839	462324	3.139573
41	8876	436225	425875	2.4302905
42	8818	332789	320537	3.8223357
43	9529	366239	360193	1.6785445
44	9942	318126	306040	3.949157
45	17302	832507	829828	0.32283798
46	15704	625648	623356	0.36768717
47	13190	750306	748988	0.17597078
48	12879	658346	656693	0.25171578
49	27733	600325	599269	0.1762147
50	2088	0	0	0.0
51	2115	0	0	0.0
52	2099	0	0	0.0
53	2091	0	0	0.0
54	2003	0	0	0.0
55	3850	9046	9046	0.0
56	3725	12155	11539	5.3384175
57	4691	17543	16313	7.539999
58	3267	7965	7965	0.0
59	4146	21872	19912	9.84331
60	8382	88881	86793	2.405724
61	8299	93904	87067	7.8525734
62	9294	100666	96563	4.2490396
63	8456	105617	100788	4.791245
64	6471	65540	56510	15.979473
65	8278	255177	243872	4.6356287
66	19267	406325	401023	1.3221186
67	9667	410067	399085	2.7517948
68	9730	319692	309232	3.3825736
69	10344	232644	222684	4.472706
70	17352	643933	640816	0.48641106
71	23146	613464	611362	0.34382248
72	21537	624097	623429	0.10714933
73	10619	589634	584628	0.85627097
74	16643	576236	575274	0.16722466
75	2006	0	0	0.0
76	2011	0	0	0.0
77	2048	0	0	0.0
78	2037	0	0	0.0
79	2052	0	0	0.0
80	2523	1400	1400	0.0
81	2192	317	317	0.0
82	2035	3502	1146	205.58464
83	2048	136	136	0.0
84	2054	284	284	0.0
85	10288	74151	66850	10.921466
86	8035	92623	84229	9.965689
87	8982	60077	55544	8.161098
88	10255	60439	54612	10.669816
89	6308	83707	75061	11.518632
90	14725	253753	248699	2.0321755
91	12852	317215	311022	1.9911774
92	10853	332452	326258	1.8984975
93	12670	290264	273993	5.9384727
94	14082	330133	316870	4.185628
95	17292	496920	495516	0.283341
96	10933	639289	636903	0.37462533
97	11026	685438	680082	0.7875521
98	14599	623916	622464	0.2332665
99	17309	451162	449545	0.359697
100	2030	0	0	0.0
101	2062	0	0	0.0
102	2060	0	0	0.0
103	2081	0	0	0.0
104	2050	0	0	0.0
105	2047	0	0	0.0
106	2540	1198	1193	0.4191115
107	2093	0	0	0.0
108	2063	232	232	0.0
109	2086	0	0	0.0
110	10797	167423	159123	5.2160907
111	8714	183360	174367	5.1575127
112	15008	99525	91169	9.165396
113	5878	188140	168266	11.811061
114	5320	80928	70190	15.298475
115	16066	376729	370614	1.6499647
116	11611	333894	324437	2.9148955
117	8999	257261	246237	4.476988
118	20579	300648	293571	2.4106605
119	7778	279249	267316	4.464005
120	12405	476428	471214	1.1065036
121	8453	580794	570459	1.811699
122	18904	399598	397029	0.647056
123	17996	434479	431115	0.7803022
124	13974	566182	560754	0.9679824
