0	10213	64578
1	14832	64270
2	13137	64299
3	11012	64320
4	16677	64309
5	109190	64345
6	126025	64322
7	140613	64253
8	102380	64307
9	99251	64243
10	276460	64245
11	333571	64243
12	341466	64267
13	311483	64249
14	299333	64246
15	536857	64327
16	524052	64268
17	705656	64242
18	652286	64238
19	523228	64322
20	1142297	64279
21	706151	64352
22	689692	64401
23	919430	64295
24	740454	64271
25	8	64324
26	1726	64276
27	27	64307
28	1206	64301
29	50	64240
30	66590	64315
31	56162	64374
32	75567	64292
33	48406	64346
34	41430	64250
35	189692	64393
36	283008	64380
37	214930	64407
38	240345	64343
39	227590	64329
40	659261	64450
41	578215	64331
42	433091	64334
43	464266	64357
44	445019	64339
45	1048414	64282
46	763516	64370
47	894135	64256
48	769835	64325
49	734378	64280
50	0	64324
51	0	64274
52	0	64350
53	0	64392
54	0	64300
55	23737	64358
56	22546	64339
57	43371	64400
58	23580	64313
59	38475	64375
60	203244	64403
61	198396	64346
62	182445	64318
63	214234	64372
64	114750	64305
65	365381	64346
66	539766	64437
67	525738	64350
68	468034	64337
69	314305	64339
70	808205	64355
71	758376	64383
72	853320	64430
73	707393	64329
74	739689	64356
75	0	64452
76	0	64353
77	0	64299
78	0	64344
79	0	64364
80	2281	64340
81	1230	64429
82	4364	64391
83	136	64388
84	284	64337
85	136281	64510
86	188227	64357
87	126949	64374
88	146284	64342
89	139829	64460
90	414815	64370
91	440676	64389
92	455739	64324
93	382267	64320
94	475722	64410
95	698478	64320
96	760294	64406
97	890757	64349
98	781583	64460
99	591577	64354
100	0	64371
101	0	64392
102	0	64394
103	0	64340
104	0	64329
105	0	64310
106	2394	64494
107	0	64410
108	232	64411
109	0	64405
110	242291	64284
111	259955	64342
112	215970	64334
113	253482	64400
114	141955	64444
115	490549	64348
116	443087	64352
117	364867	64432
118	425135	64357
119	380360	65702
120	594741	66620
121	760216	66650
122	548885	67016
123	613215	69281
124	737495	65019
