0	0.0
1	0.0
2	0.11717834
3	3.8116145
4	4.8457317
5	0.0
6	0.6297575
7	0.07066662
8	0.065889016
9	1.4941362
10	0.92265856
11	0.43385616
12	0.6463878
13	0.6680383
14	0.62140524
15	0.79641306
16	0.43298757
17	0.064422816
18	0.1986669
19	0.8362596
20	0.05106099
21	0.14186358
22	0.030386351
23	0.0013435677
24	0.018622737
25	0.0
26	14.623956
27	0.0
28	0.0
29	0.0
30	0.0
31	0.02355805
32	0.0
33	8.687823
34	2.2235012
35	1.0499294
36	0.3475392
37	0.61698365
38	0.94132537
39	0.16650222
40	0.57600296
41	0.27402407
42	1.0972213
43	0.9658711
44	1.1067181
45	0.065435246
46	0.0686606
47	0.17410159
48	4.5683447E-4
49	0.040215664
50	0.0
51	0.0
52	0.0
53	0.0
54	0.0
55	0.0
56	5.0957623
57	14.086925
58	0.0
59	2.169546
60	3.4472826
61	4.8479905
62	4.1164837
63	0.060523078
64	0.0
65	1.2510661
66	1.8719624
67	0.6053848
68	0.4210431
69	0.30446732
70	0.14856058
71	0.2628557
72	0.025343703
73	0.13718125
74	0.10951303
75	0.0
76	0.0
77	0.0
78	0.0
79	0.0
80	0.0
81	0.0
82	5.322862
83	0.0
84	0.0
85	10.764398
86	1.5457859
87	2.8932018
88	5.7368345
89	8.158697
90	0.56574416
91	0.9150478
92	1.1230376
93	0.8901687
94	2.90403
95	0.24681342
96	0.047887985
97	0.07352055
98	0.1558323
99	0.39706814
100	0.0
101	0.0
102	0.0
103	0.0
104	0.0
105	0.0
106	0.4191115
107	0.0
108	0.0
109	0.0
110	1.4818726
111	2.3152316
112	4.5059175
113	2.1489785
114	1.2637128
115	1.0056285
116	1.9310374
117	3.250527
118	0.5698792
119	1.1499499
120	0.2909506
121	0.079760335
122	0.78986675
123	0.73251915
124	1.9851842
