0	14587	27
1	17941	3
2	23960	25
3	26019	2
4	27647	4
5	29633	0
6	33751	76
7	35246	53
8	35743	1
9	37873	50
10	41350	102
11	43497	54
12	47521	26
13	48081	28
14	49274	52
15	59596	101
16	64275	51
17	66161	104
18	67437	103
19	70019	78
20	71461	29
21	82495	79
22	92809	77
23	93340	30
24	94397	100
25	100294	34
26	101431	9
27	106114	105
28	107742	75
29	116928	56
30	120330	6
31	133751	55
32	138680	5
33	139582	32
34	141610	84
35	145988	7
36	152908	31
37	153095	109
38	157443	83
39	162009	108
40	162783	59
41	163368	82
42	174109	8
43	180684	57
44	187688	81
45	200448	33
46	201177	37
47	202881	58
48	227588	80
49	241578	87
50	241715	106
51	258359	35
52	270665	107
53	272178	14
54	286807	13
55	290883	64
56	293659	38
57	304035	60
58	331146	62
59	331285	61
60	331617	10
61	333504	88
62	343122	85
63	348640	112
64	349444	63
65	351907	89
66	353347	114
67	374883	12
68	379938	86
69	384045	11
70	387778	65
71	400062	39
72	406534	36
73	407340	110
74	408649	69
75	437605	113
76	446814	111
77	460955	92
78	466674	44
79	480336	117
80	487126	42
81	487590	16
82	504641	43
83	520308	91
84	543023	99
85	552440	116
86	554792	93
87	557217	41
88	558457	15
89	564301	19
90	565823	66
91	566137	90
92	580334	40
93	580582	67
94	584415	68
95	591035	22
96	601600	119
97	604888	21
98	620720	49
99	623676	24
100	624075	18
101	644112	73
102	645926	118
103	647348	115
104	649873	94
105	651401	46
106	658627	123
107	670526	95
108	672208	17
109	688081	74
110	699581	120
111	715923	72
112	718783	124
113	723165	122
114	729525	98
115	736554	71
116	738281	97
117	739239	70
118	758411	23
119	777231	121
120	820074	47
121	868021	48
122	877428	96
123	923248	45
124	934291	20
